year,population_total,gdp_usd,gdp_per_capita_usd,unemployment_rate,inflation_rate,refugees_from_libya,asylum_seekers_count,gdp_per_person_calculated,population_yoy_change,gdp_yoy_change_usd,conflict_period_note,wb_source,wb_ingested_at
2000,,,,,,,,,,,,,
2001,5403639.0,34112093927.254,6312.80030498965,,-8.81393752145546,,,6312.8,,,,world_bank,2026-04-25 11:08:14.216953+00:00
2002,5508410.0,20481889763.7795,3718.29434696755,19.281,-9.79764705882357,,,3718.29,104771.0,-13630204163.474503,,world_bank,2026-04-25 11:08:14.216953+00:00
2003,5619398.0,26265625000.0,4674.09943200321,19.074,-2.19115191986644,,,4674.1,110988.0,5783735236.220501,,world_bank,2026-04-25 11:08:14.216953+00:00
2004,5736693.0,33122307692.3077,5773.76333234281,18.938,-2.197567740559,,,5773.76,117295.0,6856682692.307701,,world_bank,2026-04-25 11:08:14.216953+00:00
2005,5858798.0,47334691241.4924,8079.24957329001,18.66,2.65020576131657,,,8079.25,122105.0,14212383549.1847,,world_bank,2026-04-25 11:08:14.216953+00:00
2006,5980211.0,60094231606.642,10048.8480434289,18.805,1.45926876202724,,,10048.85,121413.0,12759540365.149597,,world_bank,2026-04-25 11:08:14.216953+00:00
2007,6104380.0,68032978390.6007,11144.9448413435,18.771,6.25098782993553,,,11144.94,124169.0,7938746783.958702,,world_bank,2026-04-25 11:08:14.216953+00:00
2008,6235430.0,86710767415.1371,13906.1407818125,19.041,10.3607288954998,,,13906.14,131050.0,18677789024.5364,,world_bank,2026-04-25 11:08:14.216953+00:00
2009,6366686.0,60808562033.4191,9551.05403869755,19.29,2.45990025609948,,,9551.05,131256.0,-25902205381.718002,,world_bank,2026-04-25 11:08:14.216953+00:00
2010,6497839.0,75380825062.4216,11600.9068649472,19.321,2.79989500109268,,,11600.91,131153.0,14572263029.002502,,world_bank,2026-04-25 11:08:14.216953+00:00
2011,6343203.0,48169263294.1007,7593.8391525702,19.504,15.5184815317561,,,7593.84,-154636.0,-27211561768.3209,Revolution (2011 civil war),world_bank,2026-04-25 11:08:14.216953+00:00
2012,6179328.0,92540938129.1315,14975.8902795144,19.03,6.05980392156864,,,14975.89,-163875.0,44371674835.0308,,world_bank,2026-04-25 11:08:14.216953+00:00
2013,6304628.0,75351107029.0605,11951.7134126011,19.311,2.60581802719517,,,11951.71,125300.0,-17189831100.071,,world_bank,2026-04-25 11:08:14.216953+00:00
2014,6427252.0,57372355592.022,8926.42074591474,19.295,2.43294141599225,,,8926.42,122624.0,-17978751437.038498,Second civil war period,world_bank,2026-04-25 11:08:14.216953+00:00
2015,6531819.0,48717501321.3052,7458.48917756374,19.69,10.4022933588151,,,7458.49,104567.0,-8654854270.716805,Second civil war period,world_bank,2026-04-25 11:08:14.216953+00:00
2016,6632126.0,49912073701.298,7525.80299308216,19.559,25.8538742124461,,,7525.8,100307.0,1194572379.9927979,Second civil war period,world_bank,2026-04-25 11:08:14.216953+00:00
2017,6738770.0,67157452181.7738,9965.83236729757,19.053,25.8036184788338,,,9965.83,106644.0,17245378480.475807,Second civil war period,world_bank,2026-04-25 11:08:14.216953+00:00
2018,6849055.0,76686029772.1483,11196.5854810844,18.865,13.1702038536721,,,11196.59,110285.0,9528577590.374496,Second civil war period,world_bank,2026-04-25 11:08:14.216953+00:00
2019,6951033.0,69254496471.6938,9963.19489084483,19.087,-2.16217883470595,,,9963.19,101978.0,-7431533300.454498,Second civil war period,world_bank,2026-04-25 11:08:14.216953+00:00
2020,7045399.0,46854285440.642,6650.33810585348,19.651,1.44703656998741,,,6650.34,94366.0,-22400211031.051804,,world_bank,2026-04-25 11:08:14.216953+00:00
2021,7135175.0,35217995647.2862,4935.82787349801,19.779,2.86833027751019,,,4935.83,89776.0,-11636289793.355797,,world_bank,2026-04-25 11:08:14.216953+00:00
2022,7223805.0,43246297921.8499,5986.63694851258,19.238,4.51030149235703,,,5986.64,88630.0,8028302274.563698,,world_bank,2026-04-25 11:08:14.216953+00:00
2023,7305659.0,44027664915.187,6026.51518708812,18.713,2.37317531435169,,,6026.52,81854.0,781366993.3370972,,world_bank,2026-04-25 11:08:14.216953+00:00
